"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 12:22:27 GMT 2022","Mon Apr 04 12:22:28 GMT 2022","452","chromium","login.spec.js","Login","","","Successful login",""
"passed","Mon Apr 04 12:23:03 GMT 2022","Mon Apr 04 12:23:06 GMT 2022","2688","firefox","new_feed.spec.js","Feeds","","","Adding a new feed",""
"passed","Mon Apr 04 12:22:25 GMT 2022","Mon Apr 04 12:22:27 GMT 2022","1910","chromium","item_actions.spec.js","Items","","","Commenting item",""
"passed","Mon Apr 04 12:22:34 GMT 2022","Mon Apr 04 12:22:45 GMT 2022","11036","webkit","feed_actions.spec.js","Feeds","","","Updating feed",""
"passed","Mon Apr 04 12:22:58 GMT 2022","Mon Apr 04 12:22:59 GMT 2022","1421","firefox","feed_actions.spec.js","Feeds","","","Saving feed to bookmarks",""
"passed","Mon Apr 04 12:23:03 GMT 2022","Mon Apr 04 12:23:03 GMT 2022","737","firefox","login.spec.js","Login","","","Successful login",""
"passed","Mon Apr 04 12:22:23 GMT 2022","Mon Apr 04 12:22:24 GMT 2022","1219","chromium","feed_actions.spec.js","Feeds","","","Saving feed to bookmarks",""
"passed","Mon Apr 04 12:23:00 GMT 2022","Mon Apr 04 12:23:03 GMT 2022","2157","firefox","item_actions.spec.js","Items","","","Commenting item",""
"passed","Mon Apr 04 12:22:47 GMT 2022","Mon Apr 04 12:22:49 GMT 2022","1886","webkit","item_actions.spec.js","Items","","","Commenting item",""
"passed","Mon Apr 04 12:22:24 GMT 2022","Mon Apr 04 12:22:25 GMT 2022","1524","chromium","item_actions.spec.js","Items","","","Opening item from the feed",""
"passed","Mon Apr 04 12:22:45 GMT 2022","Mon Apr 04 12:22:46 GMT 2022","1075","webkit","feed_actions.spec.js","Feeds","","","Saving feed to bookmarks",""
"passed","Mon Apr 04 12:22:59 GMT 2022","Mon Apr 04 12:23:00 GMT 2022","1508","firefox","item_actions.spec.js","Items","","","Opening item from the feed",""
"passed","Mon Apr 04 12:23:06 GMT 2022","Mon Apr 04 12:23:07 GMT 2022","807","firefox","signUp.spec.js","Sign Up","","","Successful sign up",""
"passed","Mon Apr 04 12:22:50 GMT 2022","Mon Apr 04 12:22:51 GMT 2022","567","webkit","signUp.spec.js","Sign Up","","","Successful sign up",""
"passed","Mon Apr 04 12:22:54 GMT 2022","Mon Apr 04 12:22:58 GMT 2022","3654","firefox","feed_actions.spec.js","Feeds","","","Updating feed",""
"passed","Mon Apr 04 12:22:50 GMT 2022","Mon Apr 04 12:22:50 GMT 2022","651","webkit","new_feed.spec.js","Feeds","","","Adding a new feed",""
"passed","Mon Apr 04 12:22:49 GMT 2022","Mon Apr 04 12:22:50 GMT 2022","535","webkit","login.spec.js","Login","","","Successful login",""
"passed","Mon Apr 04 12:22:21 GMT 2022","Mon Apr 04 12:22:23 GMT 2022","1187","chromium","feed_actions.spec.js","Feeds","","","Updating feed",""
"passed","Mon Apr 04 12:22:30 GMT 2022","Mon Apr 04 12:22:31 GMT 2022","487","chromium","signUp.spec.js","Sign Up","","","Successful sign up",""
"passed","Mon Apr 04 12:22:28 GMT 2022","Mon Apr 04 12:22:30 GMT 2022","2335","chromium","new_feed.spec.js","Feeds","","","Adding a new feed",""
"passed","Mon Apr 04 12:22:46 GMT 2022","Mon Apr 04 12:22:47 GMT 2022","1274","webkit","item_actions.spec.js","Items","","","Opening item from the feed",""
